x,y,z,pitch,roll,acceleration,inclination,orientation,time
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460878
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460878
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460893
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460878
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460893
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460903
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460878
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460893
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460903
0.07,-0.02,1.04,3.85,-1.1,1.042544963059148,-15.945395900922854,-2,1486661460911
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
