x,y,z,time, count
127,127,127,1486694601490,0
127,127,127,1486694601542,1
127,127,126,1486694601562,2
127,127,126,1486694601591,3
127,126,126,1486694601599,4
127,126,126,1486694601618,5
127,126,126,1486694601623,6
127,126,126,1486694601643,7
127,126,126,1486694601649,8
127,126,126,1486694601681,9
127,126,126,1486694601704,10
127,126,126,1486694601726,11
127,127,127,1486694601734,12
127,127,127,1486694601762,13
127,127,127,1486694601770,14
127,127,127,1486694601778,15
127,127,127,1486694601782,16
127,127,127,1486694601794,17
125,126,126,1486694601797,18
125,126,126,1486694601806,19
125,126,125,1486694601812,20
125,126,125,1486694601821,21
126,126,125,1486694601827,22
126,126,125,1486694601843,23
126,127,126,1486694601850,24
126,127,126,1486694601859,25
127,127,126,1486694601869,26
127,127,126,1486694601882,27
127,127,126,1486694601892,28
127,127,126,1486694601919,29
128,128,127,1486694601924,30
128,128,127,1486694601943,31
128,128,128,1486694601945,32
128,128,128,1486694601954,33
127,127,127,1486694601961,34
127,127,127,1486694601969,35
128,126,127,1486694601972,36
128,126,127,1486694601990,37
127,127,127,1486694601998,38
127,127,127,1486694602006,39
126,127,126,1486694602010,40
126,127,126,1486694602023,41
125,126,126,1486694602025,42
125,126,126,1486694602035,43
124,126,126,1486694602041,44
124,126,126,1486694602064,45
124,127,127,1486694602070,46
124,127,127,1486694602078,47
126,127,127,1486694602082,48
126,127,127,1486694602095,49
126,127,127,1486694602097,50
126,127,127,1486694602107,51
127,127,127,1486694602113,52
127,127,127,1486694602123,53
127,127,127,1486694602127,54
127,127,127,1486694602141,55
127,126,127,1486694602143,56
127,126,127,1486694602170,57
127,127,127,1486694602173,58
127,127,127,1486694602183,59
127,127,127,1486694602189,60
127,127,127,1486694602230,61
127,127,127,1486694602240,62
127,127,127,1486694602296,63
127,127,127,1486694602305,64
127,127,127,1486694602323,65
127,127,127,1486694602337,66
127,127,127,1486694602350,67
127,127,127,1486694602358,68
127,127,127,1486694602369,69
127,127,126,1486694602378,70
127,127,126,1486694602386,71
127,126,126,1486694602391,72
127,126,126,1486694602403,73
128,127,126,1486694602405,74
128,127,126,1486694602415,75
129,127,127,1486694602422,76
129,127,127,1486694602429,77
128,127,127,1486694602432,78
128,127,127,1486694602445,79
127,127,127,1486694602447,80
127,127,127,1486694602457,81
126,127,128,1486694602463,82
126,127,128,1486694602471,83
125,127,128,1486694602473,84
125,127,128,1486694602486,85
124,127,127,1486694602489,86
124,127,127,1486694602498,87
123,126,126,1486694602503,88
123,126,126,1486694602514,89
123,126,126,1486694602522,90
123,126,126,1486694602530,91
125,126,126,1486694602532,92
125,126,126,1486694602544,93
127,127,127,1486694602548,94
127,127,127,1486694602558,95
128,127,127,1486694602563,96
128,127,127,1486694602571,97
128,127,128,1486694602574,98
128,127,128,1486694602587,99
128,127,127,1486694602590,100
128,127,127,1486694602599,101
127,126,126,1486694602604,102
127,126,126,1486694602614,103
127,126,126,1486694602618,104
127,126,126,1486694602629,105
127,126,126,1486694602632,106
127,126,126,1486694602642,107
128,126,126,1486694602648,108
128,126,126,1486694602657,109
128,127,127,1486694602660,110
128,127,127,1486694602672,111
128,127,127,1486694602675,112
128,127,127,1486694602684,113
128,127,127,1486694602690,114
128,127,127,1486694602698,115
128,127,127,1486694602700,116
128,127,127,1486694602712,117
127,126,126,1486694602717,118
127,126,126,1486694602728,119
127,127,126,1486694602732,120
127,127,126,1486694602742,121
127,127,127,1486694602746,122
127,127,127,1486694602754,123
126,128,127,1486694602757,124
126,128,127,1486694602768,125
126,127,127,1486694602771,126
126,127,127,1486694602780,127
125,127,127,1486694602784,128
125,127,127,1486694602793,129
124,126,126,1486694602797,130
124,126,126,1486694602808,131
123,126,126,1486694602813,132
123,126,126,1486694602826,133
124,126,126,1486694602831,134
124,126,126,1486694602840,135
125,126,126,1486694602844,136
125,126,126,1486694602854,137
127,127,127,1486694602857,138
127,127,127,1486694602876,139
128,127,127,1486694602885,140
128,127,127,1486694602893,141
129,127,127,1486694602902,142
129,127,127,1486694602942,143
128,127,127,1486694602948,144
128,127,127,1486694602956,145
127,127,127,1486694602958,146
127,127,127,1486694602971,147
126,126,127,1486694602973,148
126,126,127,1486694602983,149
125,126,127,1486694602988,150
125,126,127,1486694602995,151
124,126,127,1486694602998,152
124,126,127,1486694603010,153
125,126,126,1486694603013,154
125,126,126,1486694603023,155
126,126,126,1486694603029,156
126,126,126,1486694603037,157
127,126,126,1486694603040,158
127,126,126,1486694603052,159
128,127,127,1486694603054,160
128,127,127,1486694603064,161
128,127,127,1486694603070,162
128,127,127,1486694603078,163
128,127,127,1486694603080,164
128,127,127,1486694603094,165
128,127,127,1486694603096,166
128,127,127,1486694603106,167
127,127,126,1486694603111,168
127,127,126,1486694603119,169
127,127,126,1486694603122,170
127,127,126,1486694603138,171
127,126,126,1486694603140,172
127,126,126,1486694603155,173
126,127,127,1486694603158,174
126,127,127,1486694603169,175
125,127,127,1486694603174,176
125,127,127,1486694603182,177
124,127,128,1486694603185,178
124,127,128,1486694603199,179
123,127,126,1486694603222,180
123,127,126,1486694603231,181
124,127,127,1486694603234,182
124,127,127,1486694603249,183
126,128,127,1486694603252,184
126,128,127,1486694603263,185
127,128,127,1486694603268,186
127,128,127,1486694603276,187
128,127,126,1486694603279,188
128,127,126,1486694603291,189
128,127,127,1486694603294,190
128,127,127,1486694603303,191
127,126,126,1486694603309,192
127,126,126,1486694603316,193
127,126,125,1486694603347,194
127,126,125,1486694603374,195
126,125,125,1486694603377,196
126,125,125,1486694603402,197
125,126,126,1486694603406,198
125,126,126,1486694603416,199
125,126,126,1486694603420,200
125,126,126,1486694603430,201
126,126,126,1486694603434,202
